Client_ID,Professionals_Count,Students_Count,Observers_Count,Course_Start_Date,Practical_Hours,Theory_Hours,Registration_Days_Before,Origin_Country,Catering_Package,Welcome_Gift_Type,Requested_Lab_Config,Assigned_Lab_Config,Prev_Course_Dropouts,Prev_Course_Attended,Pre_Course_Supports_Tickets,Physical_Course_Kits,Waiting_List_Days,Registration_Changes,Enrollment_Type,Lanyard_Color,Client_Category,Submission_Source,Returning_Client,Agent_ID,Company_ID,Payment_Terms,Daily_Tuition_Cost,Dropped_Course
20300,2,0.0,0,2017-04-16,2,1,128.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,313.0,,Prepaid (Non-Refundable),100.0,1
77458,2,0.0,0,2015-09-05,2,2,61.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Red,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Pay Upon Start,62.0,1
37463,2,0.0,0,2017-04-05,0,2,16.0,ISR,Standard (Coffee Only),USB Drive,MacOS Station,MacOS Station,0,0,0,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,174.0,1
63969,1,0.0,0,2015-09-17,0,1,3.0,PRT,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Dual Monitor Setup,0,0,0,0.0,0,0,General Admission,Blue,Non-Profit & EduTech,Direct Website Registration,0,,,Pay Upon Start,0.0,0
28674,2,0.0,0,2015-11-23,1,2,98.0,PRT,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,1,Affiliated Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,320.0,,Pay Upon Start,75.0,0
12635,2,0.0,0,2016-02-10,0,2,34.0,PRT,,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Black,FinTech & Banking,Direct Website Registration,0,,,Pay Upon Start,67.5,1
79255,2,0.0,0,2016-08-06,2,1,73.0,FRA,Standard (Coffee Only),Branded Notebook,Linux Workstation,Standard PC (Windows),0,0,2,1.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start?,140.4,0
19578,1,0.0,0,2015-09-23,0,2,2.0,PRT,Standard (Coffee Only),Portable Charger,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,  Black  , SaaS & Software Houses  ,B2B Platforms & Resellers,0,119.0,,Pay Upon Start,72.2,0
17362,2,0.0,0,2017-04-18,0,1,0.0,DEU,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,140.0,0
38964,2,0.0,0,2015-10-15,1,3,43.0,GBR,No Food Plan,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,2,0.0,0,0,Contractual Agreement,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,99.0,0
71000,2,0.0,0,2016-05-12,0,2,309.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Blue,  Big Tech & Multinationals ,B2B Platforms & Resellers,0,218.0,,  Prepaid (Non-Refundable) ,62.0,1
57631,2,0.0,0,2016-09-20,0,1,47.0,KOR,no food plan,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Blue,SaaS & So?ftware Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,125.1,0
7709,2,0.0,0,2016-06-11,2,2,208.0,PRT,s?tandard (coffee only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,2,0.0,0,0,Contractual Agreement,Red,  Traditional IT & Telecomm  ,B2B Platforms & Resellers,0,220.0,,Pay Upon Start,80.24,0
23123,1,0.0,0,2016-01-10,1,0,4.0,GBR,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Black,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,82.0,0
37557,1,0.0,0,2016-06-14,0,3,11.0,PRT,Standard (Coffee Only),Branded Notebook,Linux Workstation,Linux Workstation,0,0,0,0.0,0,0,Affiliated Admission,Black,Industrial Tech & IoT,Dedicated Sales Team,0,,5010.0,Pay Upon Start,90.0,0
26098,2,0.0,0,2016-05-09,1,1,10.0,F?RA,standard (coffee only),Branded Notebook,Linux Workstation,Linux Workstation,0,0,1,0.0,0,0,General Admission,Black,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,126.0,0
60857,2,0.0,0,2016-05-19,0,3,189.0,fra,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,  Black  ,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Pay Upon Start,65.0,0
11650,2,0.0,0,2017-03-22,1,4,,DEU*,Standard (Coffee Only),USB Drive,Linux Workstation,Linux Workstation,0,0,1,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,100.3,0
1816,2,0.0,0,2015-07-22,0,2,20.0,PRT,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Green,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,?,62.0,0
5811,1,0.0,0,2016-11-17,0,1,496.0,PRT,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,  General Admission  ,Black,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Prepaid (Non-Refundable),51.4,1
56851,2,0.0,0,2015-09-04,0,1,41.0,ITA,Lunch Included,USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,,38,0,Affiliated Admission,Black,Traditional IT & Telecomm,B2B Platforms & Resellers,0,140.0,,Pay Upon Start,110.0,0
17547,2,0.0,0,2016-07-18,2,5,106.0,RUS,Standard (Coffee Only),Branded Notebook,Linux Workstation,Linux Workstation,0,0,0,0.0,0,0,General Admission,Red,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,, Pay Upon Start  ,121.37,1
26051,2,0.0,0,2017-03-07,0,5,35.0,PRT,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Orange,Traditional IT & Telecomm,B2B PLATFORMS & RESELLERS,0,321.0,,Pay Upon Start,68.0,0
47467,2,2.0,0,2016-12-26,1,2,173.0,BRA,Standard (Coffee Only),Branded Notebook,MacOS Station,MacOS Station,0,0,1,0.0,0,1,General Admission,Blue,  FinTech & Banking  ,Direct Website Registration,0,,,Pay Upon Start,132.0,0
13446,3,0.0,0,2016-09-25,2,1,89.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,1,General Admission,Blue, Traditional IT & Telecomm ,B2B Platforms & Resellers,0,,,Pay Upon Start,127.33,1
2310,2,0.0,0,2015-09-24,0,2,342.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),1,0,0,0.0,0,0,Contractual Agreement,Red,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,  Prepaid (Non-Refundable) ,62.0,1
47302,2,0.0,0,2017-04-01,2,1,162.0,PRT,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,156.0,,Pay Upon Start,98.0,1
18736,2,0.0,0,2017-03-06,1,0,0.0,BRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Linux Workstation,0,0,0,0.0,0,0,General Admission,Black,Non-Profit & EduTech,Direct Website Registration,0,,,Pay Upon Start,0.0,0
12321,1,0.0,0,2016-01-27,0,1,2.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),High-GPU Unit,0,1,0,0.0,0,0,AFFILIATED ADMISSION,Blue,Non-Profit & EduTech,Direct Website Registration,1,,5194.0,PAY UPON START,0.0,0
36243,2,0.0,0,2016-09-26,1,1,33.0,PRT,STANDARD (COFFEE ONLY),Branded Notebook,Linux Workstation,Linux Workstation,0,0,4,0.0,0,3,General Admission,Black,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,, Pay Upon Start ,147.25,0
39349,2,0.0,0,2016-10-27,2,3,,FRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Black,SaaS & Software Hou*ses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,140.0,0
63259,2,0.0,0,2015-08-14,2,2,119.0,BEL,STANDARD (COFFEE ONLY),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Green,SaaS & Software Houses,  B2B Platforms & Resellers ,0,184.0,,Pay Upon Start,76.5,0
10542,2,0.0,0,2016-11-03,1,3,83.0,ITA,No Food Plan,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,  General Admission  ,Orange,SaaS & Software Houses,b2b platforms & resellers,0,184.0,,Pay Upon Start,79.2,1
50399,2,0.0,0,2016-12-23,2,2,115.0,CHE,Standard (Coffee Only),Water Bottle,MacOS Station,MacOS Station,0,0,0,0.0,0,0,General Admission,Green,SaaS & Software Houses,B2B Platforms & Resellers,0,220.0,,Pay Upon Start,91.12,0
40552,2,0.0,0,2016-07-30,1,1,301.0,DEU,Lunch Included,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,Affiliated Admission,Red,Traditional IT & Telecomm,B2B Platforms & Resellers,0,219.0,,PAY UPON START,115.0,0
65387,2,0.0,0,2016-07-14,0,3,155.0,FRA,Standard (Coffee Only),USB Drive,Standard PC (Windows),Linux Workstation,0,0,0,0.0,0,0,General Admission,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,,,Pay Upon Start,112.0,0
61278,1,0.0,0,2015-10-01,0,2,17.0,IND,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,3,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,104.0,,Pay Upon Start,73.88,0
7328,2,0.0,0,2016-04-20,0,2,110.0,ISR,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Linux Workstation,0,0,0,0.0,0,3,Affiliated Admission,Red,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,72.8,0
10982,1,0.0,0,2016-04-12,0,1,47.0,ESP,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Laptop Docking Station,0,0,0,0.0,0,1,General Admission,Blue,SaaS & Software Houses, B2B Platforms & Resellers  ,0,184.0,,Pay Upon Start,99.9,1
5882,2,0.0,0,2016-01-07,0,3,2.0,GBR,Standard (Coffee On!ly),Branded Notebook,,Laptop Docking Station,0,0,0,0.0,0,0,Affiliated Admission,Black,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,77.25,0
39919,2,9999.0,0,2017-03-05,2,2,174.0,FRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,Affiliated Admission,Green,Big Tech & Multinationals,B2B Platforms & Resellers,0,,,Pay Upon Start,90.0,0
44427,2,0.0,0,2016-04-02,2,3,68.0,ITA,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,89.93,0
53619,2,0.0,0,2016-08-06,1,1,30.0,GBR,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,1,General Admission, Blue  ,FinTech & Banking,Direct Website Registration,0,264.0,,Pay Upon Start,101.15,0
74213,1,0.0,0,2015-09-17,0,1,335.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),1,0,0,0.0,0,0,General Admission,Black,Traditional IT & Telecomm,B2B Platforms & Resellers,0,142.0,,Prepaid (Non-Refundable),75.0,1
20470,2,0.0,0,2017-02-26,2,2,10.0,FRA,No Food Plan,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,3,0.0,0,0,General Admission,!Orange,SaaS & Software Houses,B2B PLATFORMS & RESELLERS,0,184.0,,Pay Upon Start,74.8,1
47348,1,0.0,0,2016-04-26,0,1,,PRT,Lunch Included,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Orange,Big Tech & Multinationals,B2!B Platforms & Resellers,0,302.0,,Pay Up#on Start,0.0,0
5421,2,0.0,0,2016-09-19,1,2,280.0,PRT,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,35,0,General Admission,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,219.0,,Prepaid (Non?-Refundable),110.0,1
8446,1,0.0,0,2015-07-20,1,1,276.0,PRT,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),1,0,0,0.0,0,0,Affiliated Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Prepaid (Non-Refundable),60.0,1
68075,2,0.0,0,2017-03-13,1,2,204.0,FRA,No Food Plan,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,3,1.0,0,0,General Admission,Red,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,88.2,0
14414,2,0.0,0,2017-03-03,0,2,67.0,ESP,Standard (Coffee Only),Branded Notebook,Linux Workstation,Linux Workstation,0,0,1,0.0,0,1,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,,,Pay Upon Start,151.2,0
1898,2,0.0,0,2015-09-21,1,1,19.0,PRT,Standard (Coffee Only),Portable Charger,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Green,Traditional IT & Telecomm,B2B Platforms & Resellers,0,300.0,,Pay Upon Start,48.0,1
47679,1,0.0,0,2016-10-10,1,0,76.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Black,Traditional IT & Telecomm,B2B Platforms & Resellers,0,,,Pay Upon Start,120.0,1
2702,2,0.0,0,2017-02-19,2,1,153.0,FRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Linux Workstation,0,0,0,0.0,0,0,General Admission,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,224.0,,Pay Upon Start,75.0,0
47162,1,0.0,0,2017-01-06,2,4,38.0,CHN,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,general admission,Black,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,67.32,1
46626,2,0.0,0,2016-06-26,2,1,45.0,PRT, No Food Plan  ,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,95.1,0
20378,3,0.0,0,2017-02-13,2,5,79.0,POL,Standard (Coffee Only),Branded Notebook,Linux Workstation,Linux Workstation,0,0,1,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,130.9,1
39629,2,0.0,0,2015-08-10,1,1,297.0,PRT,Standard (Coffee Only),Water Bottle,,Standard PC (Windows),1,0,0,0.0,0,0,Affiliated Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Prepaid (Non-Refundable),62.0,1
32882,2,0.0,0,2015-09-09,0,2,327.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),1,0,0,0.0,0,0,Affiliated Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Unknown,62.0,1
3540,1,0.0,0,2016-07-21,0,1,379.0,PRT,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Prepaid (Non-Refundable),59.0,1
51620,2,0.0,0,2016-05-20,0,2,211.0,PRT,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,111,0,General Admission,Blue,traditional it & telecomm,B2B Platforms & Resellers,0,219.0,,Prepaid (Non-Refundable),100.0,1
6441,2,0.0,0,2016-10-24,1,3,96.0,CHE,Standard (Coffee Only),Water Bottle,,Standard PC (Windows),0,0,3,1.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,100.13,0
26832,2,0.0,0,2016-10-12,0,4,222.0, ROU  ,Standard (Coffee Only),Branded Notebook,,Standard PC (Windows),0,0,1,0.0,0,0,General Admission,blue,  Traditional IT & Telecomm  ,B2B Platforms & Resellers,0,,,Pay Upon Start,80.75,0
35127,1,0.0,0,2016-12-12,1,0,56.0,IRL,No Food Plan,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,2,0.0,0,0,General Admission,Blue,SaaS & Software Houses, B2B Platforms & Resellers  ,0,184.0,,Pay Upon Start,79.2,0
53798,2,0.0,0,2016-09-20,0,2,333.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),1,0,0,0.0,19,0,General Admission,  Blue ,Traditional IT & Telecomm,B2B Platforms & Resellers,0,,,Prepaid (Non-Refundable),90.0,1
22806,3,0.0,0,2017-04-07,0,2,,CHE,Standard (Coffee Only),USB Drive,Linux Workstation,Linux Workstation,0,0,1,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,162.0,0
10921,2,0.0,0,2017-02-17,1,2,10.0,ESP,No Food Plan,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Blue,SaaS & Software Houses, B2B Platforms & Resellers  ,0,184.0,,Pay Upon Start,92.0,0
5046,2,0.0,0,2016-06-06,1,1,247.0,ITA,Lunch Included,Branded Notebook,Standard PC (Windows),Linux Workstation,0,0,1,0.0,0,0,Affiliated Admission,Black,traditional it & telecomm,B2B Platforms & Resellers,0,219.0,,Pay Upon Start,115.0,0
8861,1,0.0,0,2016-10-05,0,2,167.0,prt,  Standard (Coffee Only) ,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Blue, Traditional IT & Telecomm  ,B2B Platforms & Resellers,0,220.0,,Pay Upon Start,78.2,1
63023,2,0.0,0,2016-09-16,1,2,205.0,PRT,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,  General Admission ,Black,big tech & multinationals, b2b platforms & resellers  ,0,320.0,,Prepaid (Non-Refundable),120.0,1
5096,2,0.0,0,2015-09-19,2,1,7.0,MEX,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Linux Workstation,0,0,0,0.0,0,0,Organizational Arrangement,Green,FinTech & Banking,Unknown,0,264.0,,PAY UPON START,114.0,0
4454,2,0.0,0,2016-11-03,0,3,304.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,  General Admission  ,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,138.0,,Prepaid (Non-Refundable),89.0,1
8980,1,0.0,0,2015-09-24,0,0,30.0,PRT,Lunch Included,Branded Notebook,Standard PC (Windows),Server Access Terminal,0,0,0,0.0,0,0,General Admission,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,224.0,,Pay Upon Start,0.0,0
74970,2,2.0,0,2016-08-13,2,1,56.0,FRA,Standard (Coffee Only),Branded Notebook,Dual Monitor Setup,Dual Monitor Setup,0,0,1,1.0,0,0,General Admission,Black,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,216.9,0
66801,3,0.0,0,2016-05-09,1,4,,IND,standard (coffee only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Black,SaaS & Software Houses,B2B Platforms & Resellers,0,,,Pay Upon Start,150.45,1
17164,2,0.0,0,2016-05-03,0,4,98.0,DEU,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,Affiliated Admission,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,317.0,,pay upon start,95.0,0
35003,2,0.0,0,2015-11-02,1,1,80.0,PRT,Lunch Included,USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,60,0,General Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,,5122.0,Prepaid (Non-Refundable),111.0,1
